State,Year,Skin_Disease_Name,Disease_Rate_per_100k_or_pct,Death_Rate_per_100k,Impact_Score_1_5,Treatable,Gender_M_Percent,Gender_F_Percent,Most_Affected_Age_Group,Hospitalization_Rate_per_100k,Avg_Cost_per_Patient_USD,Quality_of_Life_Impact_1_5,Source_URL,Notes
California,2018,Melanoma,95.28,1.19,5,Yes,55,45,60+,16.4,18448.3,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
California,2018,Squamous Cell Carcinoma (SCC),190.03,1.81,4,Yes,60,40,60+,17.77,28767.54,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
California,2018,Basal Cell Carcinoma (BCC),100.25,1.83,3,Yes,52,48,60+,0,17388.32,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
California,2018,Psoriasis,48.17,0,3,Partially,45,55,40-59,0,13386.75,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
California,2018,Acne,79.32,0,2,Yes,55,45,0-19,0,10122.58,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
California,2018,Rosacea,234.2,0,2,Yes,35,65,30-59,0,18813.53,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
California,2018,Contact Dermatitis,85.44,0,2,Yes,50,50,20-50,0,25170.69,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
California,2018,Fungal Skin Diseases,211.15,0,2,Yes,50,50,All ages,0,14829.38,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
California,2019,Melanoma,211.39,3.18,5,Yes,55,45,60+,17.38,7925.14,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
California,2019,Squamous Cell Carcinoma (SCC),23.98,0.15,4,Yes,60,40,60+,7.59,10547.65,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
California,2019,Basal Cell Carcinoma (BCC),58.89,2.19,3,Yes,52,48,60+,0,5267.47,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
California,2019,Psoriasis,190.35,0,3,Partially,45,55,40-59,0,13540.39,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
California,2019,Acne,169.53,0,2,Yes,55,45,0-19,0,7949.87,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
California,2019,Rosacea,60.54,0,2,Yes,35,65,30-59,0,22796.5,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
California,2019,Contact Dermatitis,37.73,0,2,Yes,50,50,20-50,0,29270.67,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
California,2019,Fungal Skin Diseases,89.45,0,2,Yes,50,50,All ages,0,22469.62,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
California,2020,Melanoma,148.45,2.49,5,Yes,55,45,60+,19.76,10654,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
California,2020,Squamous Cell Carcinoma (SCC),94.88,0.39,4,Yes,60,40,60+,7.74,6107.99,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
California,2020,Basal Cell Carcinoma (BCC),112.45,0.31,3,Yes,52,48,60+,0,20104.65,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
California,2020,Psoriasis,111.78,0,3,Partially,45,55,40-59,0,13598.26,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
California,2020,Acne,142.88,0,2,Yes,55,45,0-19,0,7556.95,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
California,2020,Rosacea,208.47,0,2,Yes,35,65,30-59,0,7017.06,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
